action_id,account_id,action_type,reason_summary,taken_by,taken_at,related_investigation_id
ACT-00465,ACC-001186,manual_review,Elevated risk score — pending verification.,m.chen,2026-04-24 06:56:35,
ACT-00466,ACC-001594,rate_limited,Api token abuse response — pending verification.,a.okafor,2026-05-03 02:44:53,INV-00114
ACT-00467,ACC-000187,external_sharing_disabled,Policy violation — temporary protective measure.,c.ramirez,2026-02-05 06:58:36,
ACT-00468,ACC-000594,rate_limited,Credential stuffing response — resolved after review.,t.ibrahim,2026-05-08 16:39:06,INV-00010
ACT-00469,ACC-000055,cleared_no_action,Elevated risk score — temporary protective measure.,r.kowalski,2026-03-26 06:55:05,
ACT-00470,ACC-001855,account_suspended,Elevated risk score — awaiting customer response.,m.chen,2026-04-16 19:53:06,
ACT-00471,ACC-000014,mfa_enforced,Account takeover response — resolved after review.,s.delgado,2026-05-15 18:45:57,INV-00281
ACT-00472,ACC-001633,rate_limited,Api token abuse response — temporary protective measure.,m.chen,2026-03-04 11:53:53,INV-00011
ACT-00473,ACC-001373,account_suspended,Malware delivery response — temporary protective measure.,t.ibrahim,2026-04-12 03:04:00,INV-00299
ACT-00474,ACC-000159,forced_password_reset,Credential stuffing response — resolved after review.,c.ramirez,2026-02-15 03:25:28,INV-00278
ACT-00475,ACC-001017,manual_review,Benign response — pending verification.,c.ramirez,2026-03-30 12:31:00,INV-00207
ACT-00476,ACC-001665,forced_password_reset,Linked to active campaign — pending verification.,m.chen,2026-05-08 03:27:19,
ACT-00477,ACC-000511,mfa_enforced,Account takeover response — pending verification.,p.novak,2026-05-09 03:56:57,INV-00146
ACT-00478,ACC-001047,session_revoked,Phishing wave response — temporary protective measure.,t.ibrahim,2026-02-02 11:09:35,INV-00107
ACT-00479,ACC-001446,manual_review,Phishing wave response — pending verification.,t.ibrahim,2026-04-14 16:38:35,INV-00069
ACT-00480,ACC-001608,rate_limited,Policy violation — resolved after review.,c.ramirez,2026-03-03 17:56:55,
